record_no_	tripno	otarms	empst	occ	jbsite	wkweek	female	age	age1	age2	age3	dweltp	pinc	hhsize	nveh	weight	nwkrs	nldr	hinc	trdist	mindst	minsub	dsttrm	nterm	gacca	gegrw	gwait	gfare	lsdum	twait	taccw	tegrw	tfare	mcost	mdist	mspace	lnlots	zcost	zdist	zspace	zcd	zcs	zds	mdpri	mspri	lnlpri	zdpri	zspri	zdspri	free	aavail	tavail	dlic	ivtt1	ivtt2	ivtt3	ivtt4	ivtt5	avail1	avail1bis	avail2	avail3	avail4	avail5	choice
157	6706	814	2	1	1	1	1	42	0	1	0	1	23	2	2	0.69	2	2	65	30	277	11	18	22	11.85	1.08	1	3.31	0	7.69	1.08	3.73	1.42	6.14	640	4.91	4.23	4.06	56394.29	1.12	-88.58	-0.16	-41.71	75	4.51	0.69	42.25	0.19	2.83	1	1	1	1	69	69	61.5	35.90898317	9999	1	1	1	1	1	0	3
241	10156	641	2	8	1	2	0	43	0	1	0	1	100	3	1	0.58	9	9	0	47	321	4	28	20	26.45	3.21	1	4.06	0	4.11	3.25	12.35	1.42	6.56	643	4.75	4.6	6.32	53486.14	1.15	-44.07	-0.2	-35.77	87	4.99	0.69	30.25	0.49	-3.85	0	1	2	1	71	71	64.95	60	9999	1	1	1	1	1	0	3
242	10158	641	2	1	1	1	1	40	0	1	0	1	100	3	1	0.58	9	9	0	47	321	4	28	20	26.45	3.21	1	4.06	0	4.11	3.25	12.35	1.42	6.56	643	4.75	4.6	6.32	53486.14	1.15	-44.07	-0.2	-35.77	87	4.99	0.69	30.25	0.49	-3.85	0	5	2	0	71	71	64.95	56.73066382	9999	1	0	1	1	1	0	3
108	4634	776	2	4	2	1	0	55	0	0	1	2	28	2	1	0.62	1	1	28	36	294	5	27	22	2.3	3.21	1	3.31	1	15	4.73	2.71	1.42	5.43	588	4.72	4.39	3.86	69863.31	0.87	-39.17	0.08	-48.58	84	2.83	0.69	81	0.57	6.77	1	1	1	1	71	71	52.2	58.7389047	9999	1	1	1	1	1	0	3
222	9188	428	2	1	1	1	0	33	0	1	0	2	28	4	1	0.61	1	2	0	45	296	9	0	0	1.77	3.92	0	2.8	1	9999	9999	9999	9999	6.36	631	4.79	4.64	5.76	45299.31	1.28	-266.56	0.08	-66.62	0	0	9.99	0	0	0	0	1	1	1	72	72	52	53.7295522	9999	1	1	1	1	1	0	3
198	8166	428	2	8	1	1	0	34	0	1	0	3	38	3	1	0.58	1	1	0	45	124	2	0	0	5.24	3.08	0.49	3.51	1	9999	9999	9999	9999	6.57	642	4.8	4.66	5.56	48094.04	1.35	-254.63	-0.22	-22.8	100	3.53	0	0	0	0	0	1	1	1	72	72	55	56.19194547	9999	1	1	1	1	1	0	3
174	7312	855	2	8	1	2	1	28	0	1	0	3	33	2	2	0.42	2	2	80	38	167	2	18	22	6.07	3.78	0.38	4.11	0	16.41	3.22	4.9	1.42	6.67	608	4.88	4.5	5.86	53821.4	1.51	-94.51	-0.23	-10.05	41	3.26	0	0	0	0	0	1	1	1	73	73	75.25	63.01191941	9999	1	1	1	1	1	0	3
219	9069	635	2	1	1	1	1	26	0	1	0	1	18	2	2	0.69	2	2	55	54	124	2	33	20	32.84	3.08	0.49	4.41	0	6	1.26	9.61	1.42	6.57	642	4.8	4.66	5.56	48094.04	1.35	-254.63	-0.22	-22.8	100	3.53	0	0	0	0	0	1	1	1	74	74	72.25	68.85267105	9999	1	1	1	1	1	0	3
62	3206	702	2	8	1	1	0	30	0	1	0	1	23	2	1	0.29	2	2	45	56	348	3	39	20	41.85	4.4	0.25	4.41	0	17.29	4.26	6.95	1.42	6.46	673	4.76	4.78	5.34	50344.57	1.31	-305.68	-0.09	-22.12	0	0	9.99	0	0	0	0	1	3	1	75	75	85.23	51.93443997	9999	1	1	1	1	1	0	3
173	7308	855	2	8	1	1	0	27	0	1	0	3	48	2	2	0.42	2	2	80	37	207	10	17	22	6.07	2.52	1	4.11	0	16	2.52	4.9	1.42	6.46	690	4.81	4.73	5.24	47551.11	1.22	-120.49	0.31	-36.57	0	0	9.99	0	0	0	0	1	1	1	75	75	72.88	51.41335672	9999	1	1	1	1	1	0	3
105	4527	985	2	1	1	1	1	60	0	0	1	1	28	3	2	0.78	9	9	0	43	296	9	0	0	16.58	3.92	0	3.15	1	9999	9999	9999	9999	6.36	631	4.79	4.64	5.76	45299.31	1.28	-266.56	0.08	-66.62	0	0	9.99	0	0	0	1	1	1	1	76	76	63	70	9999	1	1	1	1	1	0	3
73	3491	979	2	8	8	1	0	46	0	1	0	1	100	5	1	0.61	3	2	0	42	103	4	0	0	9.14	1.32	1	3.31	1	9999	9999	9999	9999	6.31	647	4.78	4.59	6.82	52346.57	1.07	3.42	-0.21	-28.99	0	0	9.99	0	0	0	1	1	1	1	76	76	55	65.87290282	9999	1	1	1	1	1	0	3
101	4489	855	2	2	1	2	1	28	0	1	0	1	48	3	3	0.78	9	9	0	37	550	5	17	22	7.91	1.71	1	4.11	0	16	1.71	6.88	1.42	5.49	636	4.86	4.23	3.52	57431.97	0.92	-155.75	0	-9.03	85	2.84	1.1	10.89	0.1	-1.01	0	1	4	1	76	76	63.03	70	9999	1	1	1	1	1	0	3
65	3227	449	2	1	1	1	1	25	0	1	0	1	23	2	1	0.62	2	2	45	51	167	2	0	0	9.51	3.78	0.38	3.51	1	9999	9999	9999	9999	6.67	608	4.88	4.5	5.86	53821.4	1.51	-94.51	-0.23	-10.05	41	3.26	0	0	0	0	0	4	1	1	77	77	48	73.37203554	9999	1	1	1	1	1	0	3
79	3654	449	2	1	1	1	1	27	0	1	0	1	28	2	2	0.69	2	2	65	51	102	2	0	0	10.34	2.11	0.74	3.51	1	9999	9999	9999	9999	6.65	622	4.79	4.56	5.79	57781.04	1.43	-165.5	-0.24	-5.88	0	0	9.99	0	0	0	0	3	1	1	77	77	43	68.20601484	9999	1	1	1	1	1	0	3
126	5164	895	2	8	1	1	0	49	0	1	0	2	23	2	1	0.62	2	1	45	36	118	1	10	21	1.55	3.88	0	3.45	0	9999	9999	9999	1.42	6.1	607	4.84	4.5	7.05	75254.34	1.27	-36.43	0.41	-28.77	63	2.48	1.1	10.89	0.25	-1.55	0	1	1	1	78	78	45	70	9999	1	1	1	1	1	0	3
93	4158	987	2	8	1	1	0	47	0	1	0	1	70	4	1	0.61	3	-50	0	44	124	2	0	0	11.56	3.08	0.49	3.86	1	9999	9999	9999	9999	6.57	642	4.8	4.66	5.56	48094.04	1.35	-254.63	-0.22	-22.8	100	3.53	0	0	0	0	0	3	1	1	78	78	49	70	9999	1	1	1	1	1	0	3
81	3794	933	2	2	1	2	0	38	0	1	0	1	70	2	2	0.28	9	9	0	63	296	9	12	20	33.31	3.92	0	3.1	0	9999	9999	9999	1.42	6.36	631	4.79	4.64	5.76	45299.31	1.28	-266.56	0.08	-66.62	0	0	9.99	0	0	0	0	5	3	1	79	79	56	77.74154236	9999	1	1	1	1	1	0	3
63	3210	975	1	1	1	1	1	50	0	1	0	2	100	3	3	0.64	3	3	0	47	399	3	0	0	6.56	4.07	0.75	3.86	1	9999	9999	9999	9999	6.72	596	4.78	4.45	6.13	66293.95	1.31	-56.36	0.07	81.17	59	4.61	0	0	0	0	0	1	1	1	79	79	53	70.86656225	9999	1	1	1	1	1	0	3
166	7033	1084	2	8	1	1	0	63	0	0	1	1	38	2	1	0.62	2	2	65	47	60	7	0	0	1.7	1.29	1	5.31	0	9999	9999	9999	9999	5.89	599	5.02	3.81	4.53	60944	0.84	-143.43	0	-17.63	0	0	9.99	0	0	0	1	1	1	1	79	79	60	69.08356955	9999	1	1	1	1	1	0	3
74	3506	990	2	1	1	1	1	40	0	1	0	3	33	2	9	0.4	9	9	0	47	38	9	0	0	16.57	1.98	0.75	3.86	1	9999	9999	9999	9999	6.03	644	4.69	4.74	5.92	58137.46	1.29	-158.77	0.48	-70.21	65	4.84	0.69	1024	1.33	-36.84	1	1	1	1	80	80	53	74.90530848	9999	1	1	1	1	1	0	3
165	7024	1084	2	1	1	1	1	48	0	1	0	1	28	2	1	0.62	2	2	65	47	334	7	0	0	1.7	1.9	1	5.31	0	9999	9999	9999	9999	5.8	622	5.12	3.61	4.73	80921.03	0.87	-103.15	-0.32	-17.17	79	2.64	0	0	0	0	1	1	1	1	81	81	54	73.38257913	9999	1	1	1	1	1	0	3
248	10473	987	2	8	1	1	0	35	0	1	0	1	58	2	1	0.62	2	2	70	46	55	17	0	0	11.62	3.31	1	3.86	1	9999	9999	9999	9999	5.83	577	4.99	3.85	4.43	59736.13	0.85	-164.71	0.03	-16.88	0	0	9.99	0	0	0	0	4	1	1	81	81	59	67.87313156	9999	1	1	1	1	1	0	3
258	10748	896	2	9	1	1	0	25	0	1	0	1	18	3	5	0.78	2	2	55	36	102	2	10	21	6.51	2.11	0.74	4.16	0	4.72	1.68	9.1	1.42	6.65	622	4.79	4.56	5.79	57781.04	1.43	-165.5	-0.24	-5.88	0	0	9.99	0	0	0	0	1	1	1	86	86	65.28	73.95725943	9999	1	1	1	1	1	0	3
223	9333	479	2	8	1	1	0	25	0	1	0	2	18	2	9	0.4	1	2	50	59	758	4	0	0	1.48	5.95	0.91	3.51	1	9999	9999	9999	9999	5.11	692	4.54	4.17	3.06	63856.28	0.84	154.12	-0.34	30.57	85	4.46	1.1	0	0.65	0	1	5	1	1	87	87	64	71.87339362	9999	1	1	1	1	1	0	3
117	4967	534	2	1	1	2	0	24	1	0	0	2	100	5	3	1.42	3	3	0	67	342	9	0	0	9.13	5.18	0.15	3.51	1	9999	9999	9999	9999	6.24	667	4.72	4.8	5.47	45643.17	1.38	-271.67	0.19	-59.72	0	0	9.99	0	0	0	0	5	1	1	88	88	59	78.45480055	9999	1	1	1	1	1	0	3
163	6904	473	2	8	1	1	0	40	0	1	0	1	43	1	1	0.38	1	1	43	65	277	11	0	0	6.42	1.08	1	3.51	1	9999	9999	9999	9999	6.14	640	4.91	4.23	4.06	56394.29	1.12	-88.58	-0.16	-41.71	75	4.51	0.69	42.25	0.19	2.83	0	1	2	1	90	90	66	72.23251172	9999	1	1	1	1	1	0	3
179	7703	964	2	1	1	1	1	22	1	0	0	4	18	2	2	0.42	2	2	40	55	271	2	0	0	12.2	4.65	0.04	4.41	1	9999	9999	9999	9999	6.53	658	4.76	4.74	5.44	43639.47	1.34	-243.3	-0.05	-42.78	0	0	9.99	0	0	0	0	1	4	1	91	91	58	77.27533972	9999	1	1	1	1	1	0	3
169	7193	1039	2	9	1	1	0	34	0	1	0	2	18	4	2	1.42	1	2	0	69	340	2	0	0	36.52	3.52	0.82	5.01	1	9999	9999	9999	9999	6.66	603	4.78	4.48	6.15	67336.89	1.24	-110.72	0.05	47.87	61	2.94	0.69	0	0.21	0	0	1	1	1	97	97	55	76.34509847	9999	1	1	1	1	1	0	3
121	5068	960	2	8	1	2	0	27	0	1	0	1	48	2	1	0.62	2	2	90	57	233	4	0	0	13.95	2.46	1	4.41	1	9999	9999	9999	9999	6.19	642	4.81	4.55	6.48	58543.54	1.03	-17.77	-0.04	-46.47	62	1.95	0	0	0	0	0	2	3	1	97	97	49	80.30758556	9999	1	1	1	1	1	0	3
172	7237	1037	2	8	1	1	0	37	0	1	0	1	48	4	1	0.61	2	2	48	71	758	4	0	0	32.42	5.95	0.91	5.01	1	9999	9999	9999	9999	5.11	692	4.54	4.17	3.06	63856.28	0.84	154.12	-0.34	30.57	85	4.46	1.1	0	0.65	0	0	2	1	1	100	100	60	83.76506285	9999	1	1	1	1	1	0	3
224	9343	460	2	8	1	1	0	39	0	1	0	1	58	5	1	0.61	-50	-50	0	47	249	2	0	0	8.77	4.28	0	2.8	1	9999	9999	9999	9999	6.62	644	4.87	4.55	5.81	59626.53	1.43	-62.17	-0.18	-30.84	0	0	9.99	0	0	0	0	4	1	1	103	103	62	98.88102767	9999	1	1	1	1	1	0	3
132	5605	780	2	3	5	1	0	29	0	1	0	1	33	3	2	0.78	2	2	0	39	223	17	26	22	12.29	3.38	1	3.31	1	19.08	2.44	7.13	1.42	6.22	555	5.08	3.64	5.07	52585.39	0.78	35.15	-0.07	33.97	60	2.27	1.61	802.24	0.11	-3.17	1	2	1	1	105	105	66.14	87.3315264	9999	1	1	1	1	1	0	3
234	9824	780	2	8	1	1	1	40	0	1	0	3	23	2	1	0.52	2	1	45	36	1083	14	25	22	0.66	1.01	2.5	3.31	1	17.3	1.41	8.05	1.42	6.8	710	4.95	2.64	6.68	44161.61	1.12	135.02	-1.18	-36.11	59	2.47	1.39	87.69	0.18	0.15	0	1	1	1	105	105	61.05	84.30517379	9999	1	1	1	1	1	0	3
28	1605	780	2	2	1	1	1	30	0	1	0	2	28	2	2	0.42	1	2	28	36	296	9	26	22	0.74	3.92	0	2.6	1	17.54	2.58	9.1	1.42	6.36	631	4.79	4.64	5.76	45299.31	1.28	-266.56	0.08	-66.62	0	0	9.99	0	0	0	0	1	1	1	45	45	60.87	38	9999	1	1	1	1	1	0	4
19	1075	7	1	8	6	5	1	37	0	1	0	4	100	5	1	0.89	2	2	0	0	869	18	13	21	9999	9999	9999	9999	9999	0	0.34	4.99	0.71	4.72	715	4.64	3.18	5.25	71773.09	0.86	244.84	-0.4	-75.87	0	0	9.99	0	0	0	0	9	1	1	42	42	55	30	9999	1	1	1	1	1	0	4
36	2080	16	2	8	1	2	0	26	0	1	0	4	33	2	9	0.8	2	2	40	1	455	10	13	21	9999	9999	9999	9999	9999	1.49	2.4	5.89	0.71	5.53	621	4.69	4.52	7.53	55887.7	1.09	180.78	0.79	62.72	49	4.09	0	0	0	0	0	5	1	1	46	46	62	35	9999	1	1	1	1	1	0	4
5	115	29	2	8	1	1	0	48	0	1	0	4	70	3	1	1.43	1	3	130	2	283	3	15	22	9999	9999	9999	9999	9999	1.5	3.94	2.31	0.71	6.47	619	4.69	4.47	6.55	65873.03	1.18	-115.43	0.18	96.17	61	3.55	0.69	156.25	0.21	5.73	1	2	1	1	5	5	9.62	2	9999	1	1	1	1	1	0	4
6	180	15	2	1	1	1	1	65	0	0	1	3	18	3	2	1.78	3	1	58	3	758	4	15	21	9999	9999	9999	9999	9999	1.5	5.62	2.04	0.71	5.11	692	4.54	4.17	3.06	63856.28	0.84	154.12	-0.34	30.57	85	4.46	1.1	0	0.65	0	0	3	1	0	5	5	10.11	2	9999	1	0	1	1	1	0	4
34	2063	43	2	8	6	3	1	37	0	1	0	1	33	2	9	0.69	2	2	40	6	562	11	12	22	9999	9999	9999	9999	9999	11.76	3.8	17.69	0.71	5.98	610	4.96	4.08	4.16	55933.46	1	-231.74	-0.37	-34.26	0	0	9.99	0	0	0	0	5	1	1	8	8	22.54	2	9999	1	1	1	1	1	0	4
24	1361	154	2	8	1	1	0	52	0	1	0	1	70	3	2	1.78	1	2	110	4	95	2	11	21	9999	9999	9999	9999	9999	4.5	1.52	2.47	0.71	6.63	619	4.85	4.56	5.7	48602.34	1.45	-156.87	-0.18	-37.3	95	2.3	0.69	6.25	0	0	1	1	1	1	12	12	12.08	5	9999	1	1	1	1	1	0	4
30	1675	76	2	8	1	2	0	38	0	1	0	2	70	1	2	1.61	1	1	100	3	137	2	14	22	9999	9999	9999	9999	9999	2.72	1.96	3.58	0.71	6.56	635	4.82	4.64	5.5	45490.43	1.38	-246.79	-0.2	-38.3	0	0	9.99	0	0	0	1	1	1	1	12	12	13.24	5	9999	1	1	1	1	1	0	4
44	2427	119	2	2	5	2	1	56	0	0	1	1	23	4	2	0.56	-50	-50	0	3	149	13	11	21	9999	9999	9999	9999	9999	2.93	3.3	5.65	0.71	6.27	630	4.91	3.66	5.43	83328	0.84	-66.5	0.13	-21.05	94	3.47	0	0	0	0	0	5	1	0	12	12	6.86	5	9999	1	0	1	1	1	0	4
11	448	156	2	8	6	1	1	33	0	1	0	4	33	1	9	0.69	1	1	33	4	1599	11	9	21	9999	9999	9999	9999	9999	2.29	2.08	2.02	0.71	6.37	649	4.76	2.48	6.9	85302.59	0.72	92.24	-0.9	-112.6	0	0	9.99	0	0	0	0	5	1	1	16	16	14.03	5	9999	1	1	1	1	1	0	4
55	2987	151	2	1	1	1	0	52	0	1	0	4	23	1	9	0.69	1	0	23	6	165	11	9	21	9999	9999	9999	9999	9999	2.07	2.92	3.95	0.71	6.38	655	4.83	4.38	4.03	59947.35	1.16	-5.94	-0.1	-65.46	86	3.98	0.69	64	0.01	-0.74	0	5	1	0	17	17	11.17	5	9999	1	0	1	1	1	0	4
1	9	73	2	1	1	1	1	36	0	1	0	2	18	3	3	1.72	2	1	43	5	710	1	14	22	9999	9999	9999	9999	9999	2.63	5.36	8.07	0.71	6.29	527	5.45	2.89	8.32	67932.45	0.63	-252.43	0.05	-30.29	40	4.76	0	0	0	0	0	5	1	0	18	18	17.89	5	9999	1	0	1	1	1	0	4
27	1603	53	2	8	1	1	1	26	0	1	0	2	23	2	9	0.69	9	9	0	7	164	2	13	21	9999	9999	9999	9999	9999	3.01	2.37	5.39	0.71	6.6	630	4.86	4.55	5.64	52806.53	1.46	-123.57	-0.17	-36.26	92	2.3	0.69	6.25	0	0	0	5	1	0	18	18	14.96	5	9999	1	0	1	1	1	0	4
46	2472	120	2	1	1	1	1	60	0	0	1	2	23	1	9	0.53	1	0	23	8	273	9	12	21	9999	9999	9999	9999	9999	2.14	2.96	3.65	0.71	6.3	639	4.78	4.69	5.7	45672.77	1.27	-260.05	0.16	-60.36	0	0	9.99	0	0	0	0	5	1	0	18	18	18.2	5	9999	1	0	1	1	1	0	4
57	3081	205	2	8	1	1	0	34	0	1	0	4	18	2	9	0.8	2	1	45	8	260	2	13	21	9999	9999	9999	9999	9999	2.09	3.23	1.48	0.71	6.72	629	4.92	4.49	5.72	55999.87	1.29	-15.76	-0.26	-41.22	0	0	9.99	0	0	0	0	5	1	0	18	18	22.79	5	9999	1	0	1	1	1	0	4
58	3083	205	2	1	1	1	1	34	0	1	0	4	28	2	9	0.8	2	1	45	7	323	3	13	21	9999	9999	9999	9999	9999	1.55	2.78	1.48	0.71	6.64	599	4.78	4.5	6.02	66019.63	1.31	-128.82	0.09	82.98	62	3.45	0.69	784	1.33	-32.24	0	5	1	1	18	18	20.52	5	9999	1	1	1	1	1	0	4
43	2425	119	2	1	1	1	0	37	0	1	0	1	33	4	2	0.56	-50	-50	0	6	273	9	12	21	9999	9999	9999	9999	9999	3.74	2.96	5.7	0.71	6.3	639	4.78	4.69	5.7	45672.77	1.27	-260.05	0.16	-60.36	0	0	9.99	0	0	0	0	1	1	1	19	19	12.19	5	9999	1	1	1	1	1	0	4
15	571	141	2	1	1	1	1	64	0	0	1	1	33	2	1	1.47	1	1	55	6	240	18	8	21	9999	9999	9999	9999	9999	1.86	5.02	6.36	0.71	5.72	615	5.13	3.18	4.66	71427.92	1.17	5.79	-0.63	-69.02	83	5.23	0	0	0	0	0	1	1	0	21	21	10.96	7	9999	1	0	1	1	1	0	4
38	2215	189	2	4	4	1	0	31	0	1	0	2	23	2	1	1.47	2	1	50	12	1504	1	9	21	9999	9999	9999	9999	9999	3.28	5.29	3.96	0.71	4.8	775	5.08	1.61	0.16	7184.2	0.43	20.88	-0.12	-32.38	82	3.22	0	0	0	0	1	5	1	0	21	21	23.48	7	9999	1	0	1	1	1	0	4
59	3094	149	2	8	1	1	0	25	0	1	0	4	13	1	1	1.14	1	1	13	7	196	9	10	21	9999	9999	9999	9999	9999	1	2.53	8.14	0.71	6.31	663	4.68	4.77	5.61	50040.68	1.32	-124.07	0.35	-64.28	0	0	9.99	0	0	0	0	1	1	1	21	21	9.94	7	9999	1	1	1	1	1	0	4
8	296	64	2	4	2	3	0	27	0	1	0	4	38	1	1	1.14	1	1	38	6	103	4	14	21	9999	9999	9999	9999	9999	2.05	1.33	1.4	0.71	6.31	647	4.78	4.59	6.82	52346.57	1.07	3.42	-0.21	-28.99	0	0	9.99	0	0	0	1	1	1	1	23	23	13.87	7	9999	1	1	1	1	1	0	4
33	2031	65	2	8	1	2	0	35	0	1	0	1	53	1	9	0.53	1	0	53	7	148	11	13	21	9999	9999	9999	9999	9999	2	2.78	6.37	0.71	6.6	693	4.74	4.57	6.86	56627.21	1.13	94.61	0.08	-46.12	58	3.4	1.61	624.64	1.13	1.78	0	5	1	0	23	23	13.78	7	9999	1	0	1	1	1	0	4
20	1124	147	2	1	1	1	0	41	0	1	0	4	33	1	9	0.69	1	0	33	4	228	13	8	21	9999	9999	9999	9999	9999	1.79	3.73	2.1	0.71	6.23	591	4.97	3.76	5.48	73714.26	0.84	-42.2	-0.04	-9.01	0	0	9.99	0	0	0	0	5	1	0	24	24	8.52	7	9999	1	0	1	1	1	0	4
17	702	179	2	8	6	1	1	38	0	1	0	1	38	3	1	1.72	3	2	78	6	2	14	9	21	9999	9999	9999	9999	9999	2.02	1.85	3.46	0.71	6.19	700	4.87	3	6.53	45523.55	0.52	-331.98	0.62	-6.41	0	0	9.99	0	0	0	0	5	1	1	25	25	11.37	7	9999	1	1	1	1	1	0	4
45	2440	148	2	1	1	1	1	40	0	1	0	4	28	1	9	0.69	1	0	28	7	277	11	8	21	9999	9999	9999	9999	9999	3.3	1.48	2.72	0.71	6.14	640	4.91	4.23	4.06	56394.29	1.12	-88.58	-0.16	-41.71	75	4.51	0.69	42.25	0.19	2.83	0	5	1	0	26	26	17.02	7	9999	1	0	1	1	1	0	4
47	2513	114	1	1	5	1	1	23	1	0	0	2	3	3	9	0.64	2	1	23	9	228	4	12	21	9999	9999	9999	9999	9999	3.2	2.79	7.92	0.71	6.45	654	4.69	4.59	6.41	58918.2	1.15	-109.31	-0.04	14.5	100	3.05	0	0	0	0	0	5	1	1	26	26	21.67	7	9999	1	1	1	1	1	0	4
2	18	140	2	8	5	1	1	60	0	0	1	4	18	1	9	0.69	1	0	18	7	286	10	8	21	9999	9999	9999	9999	9999	1.95	2.82	2.43	0.71	6.61	685	4.73	4.74	5.09	47493.77	1.34	-156.84	0.04	-57.79	0	0	9.99	0	0	0	0	5	1	0	27	27	14.68	7	9999	1	0	1	1	1	0	4
21	1187	136	2	8	6	2	1	32	0	1	0	4	18	2	9	0.8	2	2	35	7	839	14	8	21	9999	9999	9999	9999	9999	1.3	6.71	6.34	0.71	6.56	872	4.84	3.04	5.52	11360.86	1.18	21.94	-0.65	-7.08	21	4.83	0	0	0	0	0	5	1	1	27	27	11.51	7	9999	1	1	1	1	1	0	4
31	1838	140	2	1	1	1	1	53	0	1	0	4	28	1	1	0.69	1	1	28	8	273	9	8	21	9999	9999	9999	9999	9999	1.34	3.07	3.22	0.71	6.3	639	4.78	4.69	5.7	45672.77	1.27	-260.05	0.16	-60.36	0	0	9.99	0	0	0	0	5	1	1	27	27	13.39	7	9999	1	1	1	1	1	0	4
10	404	208	2	8	1	1	0	43	0	1	0	1	70	4	1	1.87	1	2	100	10	207	10	12	21	9999	9999	9999	9999	9999	1.5	2.6	6.04	0.71	6.46	690	4.81	4.73	5.24	47551.11	1.22	-120.49	0.31	-36.57	0	0	9.99	0	0	0	1	1	1	1	28	28	27.97	10	9999	1	1	1	1	1	0	4
22	1190	136	2	8	5	1	0	26	0	1	0	4	18	2	9	0.8	2	2	35	9	463	3	10	21	9999	9999	9999	9999	9999	2.03	1.82	6.34	0.71	6.4	592	4.58	4.3	7	53810.49	1.11	-19.93	-0.15	85.44	91	4.01	0	0	0	0	1	5	1	1	29	29	17.95	10	9999	1	1	1	1	1	0	4
32	1946	110	2	1	1	1	1	29	0	1	0	1	13	4	1	1.87	3	2	50	12	70	2	12	21	9999	9999	9999	9999	9999	6.19	0.62	0.26	0.71	6.58	635	4.79	4.62	5.63	56244.16	1.37	-221.89	-0.22	-7.69	100	1.79	0	0	0	0	0	5	1	0	35	35	32.94	10	9999	1	0	1	1	1	0	4
13	531	233	2	8	1	1	0	49	0	1	0	4	38	3	1	1.43	2	2	55	12	838	11	11	21	9999	9999	9999	9999	9999	4.5	1.19	3.5	0.71	5.88	688	4.96	4.06	3.94	52981.17	1.01	-197.57	-0.15	-3.77	53	3.02	0.69	0.25	0.15	0.19	0	5	1	1	37	37	32.04	10	9999	1	1	1	1	1	0	4
54	2899	186	2	1	1	1	1	39	0	1	0	4	18	3	9	0.74	9	9	0	13	119	9	9	21	9999	9999	9999	9999	9999	3.61	1.62	4.95	0.71	6.08	631	4.73	4.68	6.15	56750.74	1.25	-217.6	0.44	-78.91	67	4.24	0.69	144	3.07	21.04	0	5	1	0	37	37	24.19	10	9999	1	0	1	1	1	0	4
4	68	254	2	1	1	1	1	48	0	1	0	1	23	2	3	1.48	2	2	50	13	341	6	13	22	9999	9999	9999	9999	9999	3.36	2.59	4.45	0.71	5.38	623	4.74	4.22	3.92	65494.41	0.66	114.96	-0.03	35.03	100	1.61	0	0	0	0	0	2	1	1	38	38	28.29	10	9999	1	1	1	1	1	0	4
26	1570	353	2	8	1	1	0	29	0	1	0	1	33	4	3	1.78	2	3	88	14	296	9	10	21	9999	9999	9999	9999	9999	4.84	2.72	2.4	0.71	6.36	631	4.79	4.64	5.76	45299.31	1.28	-266.56	0.08	-66.62	0	0	9.99	0	0	0	0	3	1	1	38	38	26.72	10	9999	1	1	1	1	1	0	4
16	619	224	2	8	6	1	0	54	0	1	0	4	28	3	2	0.54	2	2	50	13	279	11	10	21	9999	9999	9999	9999	9999	3.71	1.87	4.91	0.71	6.19	628	4.82	4.28	4.13	64138.11	1.15	-105.68	-0.38	-74.76	46	3.82	0.69	225	0.01	-1.16	0	2	1	1	41	41	33.95	15	9999	1	1	1	1	1	0	4
25	1568	353	2	8	1	1	0	28	0	1	0	1	38	4	3	1.78	2	3	88	11	309	18	10	21	9999	9999	9999	9999	9999	3.56	4.33	2.4	0.71	5.79	622	5.12	3.3	4.35	71670.48	1.07	0.03	-0.5	-68.58	81	5.23	0	0	0	0	0	3	1	1	41	41	20.25	15	9999	1	1	1	1	1	0	4
48	2536	310	2	1	1	1	1	28	0	1	0	3	23	1	9	0.69	1	0	23	21	1353	2	6	20	9999	9999	9999	9999	9999	3.76	2.67	0.63	0.71	4.59	762	5.12	3.26	2.69	35534.5	0.97	108.13	0.61	18.48	25	3.87	1.1	3.56	0.25	0.85	0	5	1	0	46	46	41.39	14	9999	1	0	1	1	1	0	4
50	2656	276	2	1	1	1	1	36	0	1	0	4	18	1	9	0.69	1	1	18	26	296	9	7	20	9999	9999	9999	9999	9999	5.22	3.05	5.21	0.71	6.36	631	4.79	4.64	5.76	45299.31	1.28	-266.56	0.08	-66.62	0	0	9.99	0	0	0	0	5	1	1	49	49	50.79	20	9999	1	1	1	1	1	0	4
9	355	396	2	8	1	1	0	44	0	1	0	1	70	4	2	1.78	3	3	115	26	165	11	5	20	9999	9999	9999	9999	9999	5.76	0.78	4.27	0.71	6.38	655	4.83	4.38	4.03	59947.35	1.16	-5.94	-0.1	-65.46	86	3.98	0.69	64	0.01	-0.74	0	1	1	1	54	54	50.08	20	9999	1	1	1	1	1	0	4
35	2076	778	2	3	1	1	0	25	0	1	0	4	13	2	1	0.52	2	2	25	26	1103	15	20	22	0.97	0.81	2.5	2.81	1	17.3	0.81	3.82	1.42	6.94	744	4.97	2.56	6.93	70259.7	1.2	282.7	-1.3	-77.83	30	2.83	0	0	0	0	0	4	1	1	56	56	49.84	20	9999	1	1	1	1	1	0	4
3	22	687	2	1	1	1	1	32	0	1	0	1	38	2	2	0.69	2	2	80	29	233	4	14	20	15.07	2.47	1	3.56	0	10.05	2.12	6.3	1.42	6.19	642	4.81	4.55	6.48	58538.11	1.03	-18.77	-0.04	-46.71	62	1.95	0	0	0	0	0	1	1	1	57	57	64.81	20	9999	1	1	1	1	1	0	4
