record_no_	tripno	otarms	empst	occ	jbsite	wkweek	female	age	age1	age2	age3	dweltp	pinc	hhsize	nveh	weight	nwkrs	nldr	hinc	trdist	mindst	minsub	dsttrm	nterm	gacca	gegrw	gwait	gfare	lsdum	twait	taccw	tegrw	tfare	mcost	mdist	mspace	lnlots	zcost	zdist	zspace	zcd	zcs	zds	mdpri	mspri	lnlpri	zdpri	zspri	zdspri	free	aavail	tavail	dlic	ivtt1	ivtt2	ivtt3	ivtt4	ivtt5	avail1	avail1bis	avail2	avail3	avail4	avail5	choice
139	5955	345	2	1	6	1	1	50	0	1	0	1	18	3	2	1.78	2	-50	40	18	1599	11	4	21	9999	9999	9999	9999	9999	4.9	2.21	7.03	0.71	6.37	649	4.76	2.48	6.9	85302.59	0.72	92.24	-0.9	-112.6	0	0	9.99	0	0	0	0	5	1	0	41	41	39.62	9999	9999	1	0	1	1	0	0	3
245	10401	353	2	1	1	1	1	35	0	1	0	4	13	1	9	0.69	1	0	13	11	2	17	9	21	9999	9999	9999	9999	9999	1	1.6	4.31	0.71	5.99	578	5	3.83	4.63	61586.48	0.85	-113.11	-0.02	-20.14	0	0	9.99	0	0	0	0	5	1	0	41	41	15.96	9999	9999	1	0	1	1	0	0	3
251	10599	321	2	8	1	1	0	50	0	1	0	4	38	5	1	0.89	1	2	0	18	32	9	4	20	9999	9999	9999	9999	9999	3.59	1.2	2.09	0.71	6.02	627	4.69	4.69	6.23	58909.28	1.25	-128.63	0.54	-68.16	88	5.99	0	0	0	0	0	1	2	1	41	41	44.22	9999	9999	1	1	1	1	0	0	3
236	9927	228	2	2	4	1	0	55	0	0	1	1	33	4	2	1.78	3	4	0	17	993	2	15	21	9999	9999	9999	9999	9999	7.6	1.41	8.49	0.71	5.54	659	4.47	3.87	4.04	54221.34	0.96	255.85	-0.21	-0.3	79	3.14	1.61	133.84	0.42	4.26	0	1	1	1	42	42	43.94	9999	9999	1	1	1	1	0	0	3
201	8206	239	2	1	1	1	1	26	0	1	0	1	18	2	1	1.77	2	2	40	17	321	4	13	22	9999	3.21	1	9999	9999	3.47	3.69	5.29	0.71	6.56	643	4.75	4.6	6.32	53486.14	1.15	-44.07	-0.2	-35.77	87	4.99	0.69	30.25	0.49	-3.85	0	2	1	1	43	43	32.46	32.43	9999	1	1	1	1	1	0	3
135	5712	281	2	8	1	1	0	43	0	1	0	1	53	4	2	0.56	9	9	0	21	233	4	5	20	9999	9999	9999	9999	9999	3.95	2.51	4.82	0.71	6.19	642	4.81	4.55	6.48	58538.11	1.03	-18.77	-0.04	-46.71	62	1.95	0	0	0	0	0	2	2	1	44	44	39.35	9999	9999	1	1	1	1	0	0	3
204	8350	315	2	8	1	2	0	32	0	1	0	4	23	2	2	1.12	9	9	0	12	861	14	4	20	9999	9999	9999	9999	9999	2.56	3.61	7.94	0.71	7.8	731	5.02	2.2	7.43	54260.72	1.65	474.82	-1.55	-101.13	63	2.08	0	0	0	0	1	1	2	1	44	44	27.41	9999	9999	1	1	1	1	0	0	3
216	8891	238	2	3	5	1	1	42	0	1	0	2	18	4	2	1.78	9	9	0	19	256	6	13	22	9999	9999	9999	9999	9999	4.38	1.4	2.59	0.71	5.39	622	4.68	4.11	4.09	68926.32	0.65	102.38	-0.09	6.14	93	3.01	0.69	1	0.86	-0.93	0	5	1	0	44	44	46.87	9999	9999	1	0	1	1	0	0	3
211	8682	321	2	1	1	1	1	38	0	1	0	4	13	3	1	1.43	2	2	30	16	246	6	3	20	9999	9999	9999	9999	9999	3	0.76	3.81	0.71	4.76	659	4.77	4.16	2.75	49007.66	0.81	-45.23	-0.05	54.07	47	2.92	1.79	420.89	0.36	0.77	1	5	1	1	45	45	36.07	9999	9999	1	1	1	1	0	0	3
271	11355	329	2	1	1	1	1	35	0	1	0	3	18	3	1	1.72	2	1	50	21	356	3	4	20	9999	2.76	0.98	9999	9999	3.15	3.08	7.17	0.71	6.51	661	4.76	4.62	5.45	49166.93	1.14	-150.62	0.17	-7.41	0	0	9.99	0	0	0	0	5	1	0	46	46	38.48	31.65	9999	1	0	1	1	1	0	3
116	4906	307	2	1	1	1	1	26	0	1	0	4	18	2	9	0.8	9	9	0	17	273	9	3	20	9999	9999	9999	9999	9999	1.34	3.07	4.15	0.71	6.3	639	4.78	4.69	5.7	45672.77	1.27	-260.05	0.16	-60.36	0	0	9.99	0	0	0	0	5	1	1	46	46	29.32	9999	9999	1	1	1	1	0	0	3
154	6537	266	2	6	4	1	0	49	0	1	0	1	43	4	2	1.78	9	9	0	20	296	9	8	21	9999	9999	9999	9999	9999	8.77	3.05	10.48	0.71	6.36	631	4.79	4.64	5.76	45299.31	1.28	-266.56	0.08	-66.62	0	0	9.99	0	0	0	0	1	1	1	46	46	32.86	9999	9999	1	1	1	1	0	0	3
239	10054	399	2	1	1	1	1	23	1	0	0	1	18	4	2	1.78	3	3	63	18	298	6	3	20	9999	9999	9999	9999	9999	3.24	2.37	3.57	0.71	5.23	526	4.7	4.19	4.1	50988.94	0.67	162.06	0.03	24.65	30	2.85	1.39	299.69	0.49	-0.75	0	2	2	1	47	47	44	9999	9999	1	1	1	1	0	0	3
240	10060	399	2	1	1	1	1	25	0	1	0	1	23	4	2	1.78	3	3	63	18	228	13	3	20	9999	9999	9999	9999	9999	4.03	3.73	3.57	0.71	6.23	591	4.97	3.76	5.48	73714.26	0.84	-42.2	-0.04	-9.01	0	0	9.99	0	0	0	0	1	1	1	47	47	42.53	9999	9999	1	1	1	1	0	0	3
72	3472	339	2	1	1	1	1	21	1	0	0	4	18	3	9	0.74	3	1	38	22	341	2	7	20	1.5	2.15	0	1.55	1	2.83	1.9	9.25	0.71	6.6	606	4.94	4.51	5.88	51352.88	1.32	-151.82	-0.11	-39.13	0	0	9.99	0	0	0	0	1	9	1	48	48	34.24	32.5	9999	1	1	1	1	1	0	3
97	4308	846	2	1	1	1	1	40	0	1	0	1	23	3	2	0.78	2	2	50	24	286	10	9	21	6.5	4.14	0.33	3.21	0	11.75	3.12	9.18	1.42	6.61	685	4.73	4.74	5.09	47493.77	1.34	-156.84	0.04	-57.79	0	0	9.99	0	0	0	0	5	1	1	49	49	50.31	45.3	9999	1	1	1	1	1	0	3
107	4618	303	2	6	4	1	0	63	0	0	1	1	33	3	9	0.64	9	9	0	20	327	2	5	20	9999	9999	9999	9999	9999	2.09	3.44	7.29	0.71	6.68	637	4.89	4.48	5.92	57875.27	1.29	5.96	-0.16	-37.95	0	0	9.99	0	0	0	0	5	1	1	49	49	32.63	9999	9999	1	1	1	1	0	0	3
94	4173	303	2	1	1	1	1	26	0	1	0	1	18	4	2	1.78	9	9	0	18	118	1	3	20	9999	9999	9999	9999	9999	1.11	3.38	6.94	0.71	6.1	607	4.84	4.5	7.05	75254.34	1.27	-36.43	0.41	-28.77	63	2.48	1.1	10.89	0.25	-1.55	0	2	1	1	50	50	29.79	9999	9999	1	1	1	1	0	0	3
207	8558	376	2	8	1	1	0	41	0	1	0	4	70	2	2	1.12	2	2	128	22	296	9	7	20	9999	9999	9999	9999	9999	4.54	2.75	7.7	0.71	6.36	631	4.79	4.64	5.76	45299.31	1.28	-266.56	0.08	-66.62	0	0	9.99	0	0	0	0	1	1	1	50	50	55.34	9999	9999	1	1	1	1	0	0	3
208	8560	376	2	8	1	1	1	41	0	1	0	4	28	2	2	1.12	2	2	128	22	300	9	7	20	9999	9999	9999	9999	9999	5.23	3.09	7.69	0.71	6.25	668	4.71	4.8	5.46	47200.95	1.38	-232.1	0.24	-59.8	0	0	9.99	0	0	0	0	1	1	1	50	50	55.88	9999	9999	1	1	1	1	0	0	3
202	8226	376	2	8	1	1	0	30	0	1	0	4	33	1	1	1.14	1	1	33	21	192	5	7	20	9999	9999	9999	9999	9999	4.24	2.67	8.17	0.71	5.4	603	4.66	4.47	3.84	50525.13	0.9	80.32	0.05	-33.1	0	0	9.99	0	0	0	0	1	3	1	51	51	51.37	9999	9999	1	1	1	1	0	0	3
149	6437	671	2	1	1	1	1	27	0	1	0	4	100	2	1	0.52	2	1	0	20	323	3	6	20	9999	9999	9999	9999	9999	1.97	3.38	1.55	1.42	6.64	599	4.78	4.5	6.02	66019.63	1.31	-128.82	0.09	82.98	62	3.45	0.69	784	1.33	-32.24	0	5	1	0	52	52	32.35	9999	9999	1	0	1	1	0	0	3
194	8071	380	2	8	1	1	1	31	0	1	0	4	23	2	9	0.8	9	9	0	26	124	2	7	20	9999	9999	9999	9999	9999	6.14	1.26	4.66	0.71	6.57	642	4.8	4.66	5.56	48094.04	1.35	-254.63	-0.22	-22.8	100	3.53	0	0	0	0	0	5	1	0	52	52	52.59	9999	9999	1	0	1	1	0	0	3
141	6222	811	2	1	1	1	1	25	0	1	0	4	18	2	2	0.42	1	2	25	20	240	5	13	22	5.95	2.72	1	2.81	0	4.69	2.81	4.26	1.42	5.43	581	4.72	4.39	3.86	66423.34	0.87	3.12	0.08	-41.43	0	0	9.99	0	0	0	0	1	1	1	53	53	39.1	43.54	9999	1	1	1	1	1	0	3
190	7944	730	2	8	1	1	0	37	0	1	0	1	53	4	2	1.42	1	2	0	30	51	18	4	20	21.42	1.28	2	2.26	0	21.64	1.28	9.8	1.42	5.64	637	5.28	2.94	6.39	77104.95	0.95	84.68	-0.86	-41.65	83	4.05	0.69	9	0.24	-1.48	0	1	4	1	53	53	39.52	37.05	9999	1	1	1	1	1	0	3
111	4710	754	2	8	1	1	0	38	0	1	0	1	43	2	2	0.69	2	2	55	20	240	5	5	20	9999	9999	9999	9999	9999	3.33	2.51	11.25	1.42	5.43	581	4.72	4.39	3.86	66423.34	0.87	3.12	0.08	-41.43	0	0	9.99	0	0	0	0	1	2	1	53	53	32.71	9999	9999	1	1	1	1	0	0	3
243	10202	750	2	8	1	1	0	44	0	1	0	3	38	4	1	0.61	3	1	43	25	721	3	6	20	9999	9999	9999	9999	9999	9.81	4.03	1.33	1.42	6.2	644	4.41	4.04	8.66	53135.26	0.9	235.23	-0.19	30.47	94	2.97	0.69	36	0.04	1.22	0	4	1	1	53	53	43.12	9999	9999	1	1	1	1	0	0	3
270	11312	390	2	1	1	1	1	30	0	1	0	2	23	4	2	1.78	-50	-50	0	32	56	2	7	20	9999	9999	9999	9999	9999	7.5	0.15	4.75	0.71	6.56	636	4.78	4.63	5.62	54730.39	1.37	-240.63	-0.2	-13.64	93	2.66	0.69	30.25	0.75	4.77	1	1	1	1	53	53	60.75	9999	9999	1	1	1	1	0	0	3
123	5131	734	2	1	1	1	1	25	0	1	0	1	23	5	4	1.42	4	4	100	30	104	2	4	20	23.15	2.12	0.74	2.26	0	13.9	1.69	11.48	1.42	6.65	622	4.79	4.56	5.79	57941.46	1.43	-165.06	-0.24	-5.35	0	0	9.99	0	0	0	0	3	3	1	54	54	44.69	47	9999	1	1	1	1	1	0	3
129	5378	671	2	8	1	1	0	49	0	1	0	1	43	3	1	0.58	1	2	43	18	255	6	5	20	9999	9999	9999	9999	9999	1.83	3.02	4.56	1.42	5.24	557	4.73	4.22	4.48	58990.65	0.68	156.71	0.07	48.72	68	2.85	1.39	192.25	0.49	-0.3	0	4	1	1	54	54	30.36	9999	9999	1	1	1	1	0	0	3
102	4506	337	2	8	1	1	0	30	0	1	0	1	28	3	1	1.72	9	9	0	27	273	9	4	20	9999	4.6	0	2.1	1	6.27	3.15	7.37	0.71	6.3	639	4.78	4.69	5.7	45672.77	1.27	-260.05	0.16	-60.36	0	0	9.99	0	0	0	0	1	1	1	55	55	47.33	48	9999	1	1	1	1	1	0	3
103	4508	337	2	8	1	1	1	29	0	1	0	1	33	3	1	1.72	9	9	0	27	296	9	4	20	9999	3.92	0	2.1	1	6.26	2.74	7.37	0.71	6.36	631	4.79	4.64	5.76	45299.31	1.28	-266.56	0.08	-66.62	0	0	9.99	0	0	0	0	2	1	1	55	55	47.2	48	9999	1	1	1	1	1	0	3
212	8692	785	2	1	1	1	1	48	0	1	0	3	33	1	1	0.38	1	1	33	24	366	18	18	22	5.1	5.05	1	2.26	1	7	4.69	8.12	1.42	5.4	617	5.03	3.37	4.64	70579.03	1.11	-148.65	-0.5	-74.59	61	2.97	0.69	0	0.8	0	0	1	9	1	55	55	42.56	5.66	9999	1	1	1	1	1	0	3
